Name	Group	SubGroup	Rank	Type	Macrotaxonomy	ShipCap	MoveSpeed	Metal	Crystal	BuildTime	Energy	AmmoType	Damage	Number	Reload	Range	Hull	Armor	Health	Engine	BonusType	Ability	Immunities	Memo	lol
string	string	string	string	string	string	string	string	string	string	string	string	string	string	string	string	string	string	string	string	string	string	string	string	string	string
Orbital Command Station - Home Planet	Orbital Command Station - Home Planet	Orbital Command Station - Home Planet	1		Home Planet Ships			"200,000"	"200,000"	01:00	0						Command-Grade	"1,500"	"2,000,000"			"ワープ探知　味方艦の移動速度増加(+100%)　偵察情報収集　資源生産(300メタル/sec、300クリスタル/sec、30,000エネルギー)　破壊時にAIプログレス増加(+30)"	Antimatter弾　Blade攻撃　Fusion Cutter攻撃　磨耗　鹵獲　処分　麻痺攻撃　格納　丸呑み　核攻撃　即死　EMP		lol
Economic Home Sub-Station II	Economic Home Sub-Station	Economic Home Sub-Station	2		Home Planet Ships	96		"6,000"	"6,000"	02:00	0						Command-Grade	0	"2,000,000"			"クローク機能　敵の探知不可　資源生産(80メタル/sec、80クリスタル/sec、4,000エネルギー)"	Fusion Cutter攻撃　トラクタービーム　タキオンビーム　鹵獲　処分　格納　丸呑み　核攻撃　即死		lol
Economic Home Sub-Station III	Economic Home Sub-Station	Economic Home Sub-Station	3		Home Planet Ships	96		"8,000"	"8,000"	03:01	0						Command-Grade	0	"2,000,000"			"クローク機能　敵の探知不可　資源生産(160メタル/sec、160クリスタル/sec、6,000エネルギー)"	狙撃　Fusion Cutter攻撃　トラクタービーム　タキオンビーム　鹵獲　処分　格納　丸呑み　核攻撃　即死		lol
Military Home Sub-Station II	Military Home Sub-Station	Military Home Sub-Station	2		Home Planet Ships			"50,000"	"50,000"	02:00	0	Railgun	"20,000"	8	2	"33,000"	Command-Grade	0	"2,000,000"			"クローク機能　エンジンダメージ(200)　タキオンビーム照射(射程20,000)　味方艦の攻撃力増加(+50%)　敵の探知不可　資源生産(48メタル/sec、48クリスタル/sec)"	Antimatter攻撃　Blade攻撃　Fusion Cutter攻撃　攻撃強化　レーダー妨害　トラクタービーム　タキオンビーム　鹵獲　処分　麻痺攻撃　格納　丸呑み　核攻撃　即死　EMP		lol
Military Home Sub-Station III	Military Home Sub-Station	Military Home Sub-Station	3		Home Planet Ships			"50,000"	"50,000"	03:00	0	Railgun	"30,000"	12	2	"43,000"	Command-Grade	0	"2,000,000"			クローク機能　エンジンダメージ(200)　タキオンビーム照射(惑星全域)　味方艦の攻撃力増加(+100%)　敵の探知不可　麻痺攻撃(5秒)　資源生産(96メタル/sec、96クリスタル/sec)	Antimatter攻撃　狙撃　Blade攻撃　Fusion Cutter攻撃　攻撃強化　レーダー妨害　トラクタービーム　タキオンビーム　鹵獲　処分　麻痺攻撃　格納　丸呑み　核攻撃　即死　EMP		lol
Logistical Home Sub-Station II	Logistical Home Sub-Station	Logistical Home Sub-Station	2		Home Planet Ships	96		"6,000"	"6,000"	02:00	0						Command-Grade	0	"2,000,000"			先進ワープ探知　クローク機能　敵艦の移動速度低下(-37.5%)　味方艦の移動速度増加(+200%)　敵の探知不可　資源生産(48メタル/sec、48クリスタル/sec)	Fusion Cutter攻撃　トラクタービーム　タキオンビーム　鹵獲　処分　格納　丸呑み　核攻撃　即死		lol
Logistical Home Sub-Station III	Logistical Home Sub-Station	Logistical Home Sub-Station	3		Home Planet Ships	96		"8,000"	"8,000"	03:01	0						Command-Grade	0	"2,000,000"			先進ワープ探知　クローク機能　敵艦の移動速度低下(-50%)　味方艦の移動速度増加(+200%)　敵艦のテレポート機能を無効化　敵の探知不可　資源生産(96メタル/sec、96クリスタル/sec)	狙撃　Fusion Cutter攻撃　トラクタービーム　タキオンビーム　鹵獲　処分　格納　丸呑み　核攻撃　即死		lol
Force Field Generator - Player Home	Force Field Generator - Player Home	Force Field Generator - Player Home	1		Home Planet Ships	160	4	"4,000"	"20,000"	02:01	0						Structural	0	"20,000,000"			"重力波(速度上限8、射程6,600)　タキオンビーム照射(射程6,600)　ワームホール使用不可　サプライが必要"	Antimatter弾　Fusion Cutter攻撃　速度強化　トラクタービーム　鹵獲　麻痺攻撃　格納　丸呑み　即死		lol
Home Human Settlement	Home Human Settlement	Home Human Settlement	1		Home Planet Ships			"50,000"	"50,000"	02:00	0						Command-Grade	"2,000"	"2,000,000"			資源生産(25メタル/sec、25クリスタル/sec)　破壊時にAIプログレス増加(+5)	Dark Matter弾　Blade攻撃　Fusion Cutter攻撃　範囲攻撃　攻撃強化　防御強化　磨耗　トラクタービーム　鹵獲　処分　麻痺攻撃　格納　丸呑み　フォースフィールド　核攻撃　即死　EMP		lol
